Administrative Conference of the U.S.,2025,Contract,26500.00,26500.00,1.000000
Agency for International Development,2025,Assistance,8123903969.00,12288156947.67,0.661116
Agency for International Development,2025,Contract,4164252978.67,12288156947.67,0.338883
American Battle Monuments Commission,2025,Contract,278000.00,278000.00,1.000000
Appalachian Regional Commission,2025,Assistance,269899619.00,269899619.00,1.000000
Committee for Purchase from People Who Are Blind or Severely Disabled,2025,Contract,2190345.18,2190345.18,1.000000
Commodity Futures Trading Commission,2025,Contract,67873876.61,67873876.61,1.000000
Consumer Financial Protection Bureau,2025,Contract,120217666.88,120217666.88,1.000000
Consumer Product Safety Commission,2025,Assistance,-784957.43,32121175.63,-0.024437
Consumer Product Safety Commission,2025,Contract,32906133.06,32121175.63,1.024437
Corporation for National and Community Service,2025,Assistance,669988559.47,700251626.85,0.956782
Corporation for National and Community Service,2025,Contract,30263067.38,700251626.85,0.043217
Council of the Inspectors General on Integrity and Efficiency,2025,Contract,4373104.14,4373104.14,1.000000
Court Services and Offender Supervision Agency,2025,Contract,36804551.27,36804551.27,1.000000
Defense Nuclear Facilities Safety Board,2025,Contract,5948545.18,5948545.18,1.000000
Delta Regional Authority,2025,Assistance,72918170.14,72918170.14,1.000000
Denali Commission,2025,Assistance,177858558.69,177858558.69,1.000000
Department of Agriculture,2025,Assistance,175355945974.26,185006374599.59,0.947837
Department of Agriculture,2025,Contract,9650428625.33,185006374599.59,0.052162
Department of Commerce,2025,Assistance,21173379251.78,25332656320.79,0.835813
Department of Commerce,2025,Contract,4159277069.01,25332656320.79,0.164186
Department of Defense,2025,Assistance,9633724562.60,500548580232.03,0.019246
Department of Defense,2025,Contract,490914855669.43,500548580232.03,0.980753
Department of Education,2025,Assistance,93508274603.25,96012967351.04,0.973912
Department of Education,2025,Contract,2504692747.79,96012967351.04,0.026087
Department of Energy,2025,Assistance,31056384180.86,81318347433.53,0.381911
Department of Energy,2025,Contract,50261963252.67,81318347433.53,0.618088
Department of Health and Human Services,2025,Assistance,1997519370421.19,2024291891568.65,0.986774
Department of Health and Human Services,2025,Contract,26772521147.46,2024291891568.65,0.013225
Department of Homeland Security,2025,Assistance,44201991869.30,72577339353.47,0.609032
Department of Homeland Security,2025,Contract,28375347484.17,72577339353.47,0.390967
Department of Housing and Urban Development,2025,Assistance,78974266034.39,77641981351.81,1.017159
Department of Housing and Urban Development,2025,Contract,-1332284682.58,77641981351.81,-0.017159
Department of Justice,2025,Assistance,2664760634.11,11398169521.09,0.233788
Department of Justice,2025,Contract,8733408886.98,11398169521.09,0.766211
Department of Labor,2025,Assistance,9740342083.38,11494024656.83,0.847426
Department of Labor,2025,Contract,1753682573.45,11494024656.83,0.152573
Department of State,2025,Assistance,4121126109.97,35540895308.07,0.115954
Department of State,2025,Contract,31419769198.10,35540895308.07,0.884045
Department of the Interior,2025,Assistance,12000533114.24,18437131599.38,0.650889
Department of the Interior,2025,Contract,6436598485.14,18437131599.38,0.349110
Department of the Treasury,2025,Assistance,408030355.55,8940489786.23,0.045638
Department of the Treasury,2025,Contract,8532459430.68,8940489786.23,0.954361
Department of Transportation,2025,Assistance,124982602876.30,134872527893.72,0.926672
Department of Transportation,2025,Contract,9889925017.42,134872527893.72,0.073327
Department of Veterans Affairs,2025,Assistance,209631848992.72,287880432240.95,0.728190
Department of Veterans Affairs,2025,Contract,78248583248.23,287880432240.95,0.271809
District of Columbia Courts,2025,Contract,58964818.14,58964818.14,1.000000
Election Assistance Commission,2025,Assistance,13490013.72,13490013.72,1.000000
Environmental Protection Agency,2025,Assistance,25560140681.99,27273749208.26,0.937170
Environmental Protection Agency,2025,Contract,1713608526.27,27273749208.26,0.062829
Equal Employment Opportunity Commission,2025,Contract,48412251.69,48412251.69,1.000000
Executive Office of the President,2025,Assistance,288613674.60,352709890.02,0.818274
Executive Office of the President,2025,Contract,64096215.42,352709890.02,0.181725
Export-Import Bank of the United States,2025,Assistance,-189244296.82,-137093766.96,1.380400
Export-Import Bank of the United States,2025,Contract,52150529.86,-137093766.96,-0.380400
Federal Communications Commission,2025,Assistance,6265306419.05,6328009780.18,0.990091
Federal Communications Commission,2025,Contract,62703361.13,6328009780.18,0.009908
Federal Election Commission,2025,Contract,13675918.45,13675918.45,1.000000
Federal Labor Relations Authority,2025,Contract,1616655.84,1616655.84,1.000000
Federal Maritime Commission,2025,Contract,5141006.49,5141006.49,1.000000
Federal Mediation and Conciliation Service,2025,Contract,1587916.28,1587916.28,1.000000
Federal Mine Safety and Health Review Commission,2025,Contract,-862956.09,-862956.09,1.000000
Federal Trade Commission,2025,Contract,93093005.65,93093005.65,1.000000
General Services Administration,2025,Contract,24853750452.34,24853750452.34,1.000000
Government Accountability Office,2025,Contract,117385587.27,117385587.27,1.000000
Gulf Coast Ecosystem Restoration Council,2025,Assistance,174511701.02,174511701.02,1.000000
Institute of Museum and Library Services,2025,Assistance,245539680.48,257406171.11,0.953899
Institute of Museum and Library Services,2025,Contract,11866490.63,257406171.11,0.046100
International Trade Commission,2025,Contract,17764892.68,17764892.68,1.000000
Merit Systems Protection Board,2025,Contract,3201752.74,3201752.74,1.000000
Millennium Challenge Corporation,2025,Assistance,250952618.91,291350047.45,0.861344
Millennium Challenge Corporation,2025,Contract,40397428.54,291350047.45,0.138655
Morris K. Udall and Stewart L. Udall Foundation,2025,Contract,311296.72,311296.72,1.000000
National Aeronautics and Space Administration,2025,Assistance,1522713923.60,22788098478.74,0.066820
National Aeronautics and Space Administration,2025,Contract,21265384555.14,22788098478.74,0.933179
National Archives and Records Administration,2025,Assistance,1738523.80,209418406.04,0.008301
National Archives and Records Administration,2025,Contract,207679882.24,209418406.04,0.991698
National Credit Union Administration,2025,Assistance,438607.98,438607.98,1.000000
National Endowment for the Arts,2025,Assistance,116320336.16,120132416.15,0.968267
National Endowment for the Arts,2025,Contract,3812079.99,120132416.15,0.031732
National Endowment for the Humanities,2025,Assistance,70985832.71,72930265.65,0.973338
National Endowment for the Humanities,2025,Contract,1944432.94,72930265.65,0.026661
National Labor Relations Board,2025,Contract,25930486.76,25930486.76,1.000000
National Science Foundation,2025,Assistance,8177404879.00,8888452922.58,0.920003
National Science Foundation,2025,Contract,711048043.58,8888452922.58,0.079996
National Transportation Safety Board,2025,Contract,29684092.31,29684092.31,1.000000
Nuclear Regulatory Commission,2025,Assistance,1257794.46,184665371.87,0.006811
Nuclear Regulatory Commission,2025,Contract,183407577.41,184665371.87,0.993188
Occupational Safety and Health Review Commission,2025,Contract,1556962.33,1556962.33,1.000000
Office of Personnel Management,2025,Contract,198250775.13,198250775.13,1.000000
Peace Corps,2025,Contract,69087764.13,69087764.13,1.000000
Pension Benefit Guaranty Corporation,2025,Assistance,6322223059.34,6613849719.55,0.955906
Pension Benefit Guaranty Corporation,2025,Contract,291626660.21,6613849719.55,0.044093
Railroad Retirement Board,2025,Assistance,14511445136.77,14554451293.67,0.997045
Railroad Retirement Board,2025,Contract,43006156.90,14554451293.67,0.002954
Securities and Exchange Commission,2025,Contract,498159347.29,498159347.29,1.000000
Selective Service System,2025,Contract,4415190.26,4415190.26,1.000000
Small Business Administration,2025,Assistance,884667137.04,995528006.52,0.888641
Small Business Administration,2025,Contract,110860869.48,995528006.52,0.111358
Social Security Administration,2025,Assistance,1632976041955.64,1634789112222.02,0.998890
Social Security Administration,2025,Contract,1813070266.38,1634789112222.02,0.001109
U.S. Agency for Global Media,2025,Assistance,296535796.00,367901542.69,0.806019
U.S. Agency for Global Media,2025,Contract,71365746.69,367901542.69,0.193980
U.S. International Development Finance Corporation,2025,Assistance,-1586200302.43,-1498818741.94,1.058300
U.S. International Development Finance Corporation,2025,Contract,87381560.49,-1498818741.94,-0.058300
United States Chemical Safety Board,2025,Contract,1648617.80,1648617.80,1.000000
United States Trade and Development Agency,2025,Contract,14868872.02,14868872.02,1.000000
